,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
192,SCPFL (SCP)*,Kupuj,167.0,230.2,0.3784,165.0,Ipopema Securities,2023-11-16,
193,MEDICALG (MDG)*,Kupuj,27.4,41.2,0.5036,26.25,Ipopema Securities,2023-11-16,
194,PEPCO (PCO),Kupuj,22.25,32.7,0.4697,19.0,BM mBank,2023-11-15,
195,RYVU (RVU),Kupuj,50.9,77.7,0.5265,56.9,Noble Securities,2023-11-15,
196,SANOK (SNK),Trzymaj,20.1,24.8,0.23379999999999998,23.1,DM BOŚ,2023-11-10,
197,RYVU (RVU),Trzymaj,50.9,65.0,0.27699999999999997,56.7,BM mBank,2023-11-07,
198,ORANGEPL (OPL),Kupuj,7.65,9.6,0.25420000000000004,8.02,BM mBank,2023-11-07,
199,SELVITA (SLV),Trzymaj,67.3,74.2,0.1025,59.5,DM BOŚ,2023-11-07,
200,BOOMBIT (BBT),Kupuj,10.55,18.9,0.7915000000000001,10.85,DM BDM,2023-11-06,
201,LPP (LPP),Kupuj,16880.0,18105.0,0.0726,13900.0,DM BOŚ,2023-11-06,
202,DATAWALK (DAT)*,Trzymaj,65.1,53.0,-0.1859,50.5,DM BOŚ,2023-11-03,
203,VOXEL (VOX)*,Kupuj,93.2,75.8,-0.1867,59.6,DM BOŚ,2023-11-02,
204,SANPL (SPL),Kupuj,534.0,486.63,-0.08869999999999999,456.4,BM mBank,2023-11-02,
205,ASSECOSEE (ASE),Kupuj,51.0,50.0,-0.0196,46.0,DM BOŚ,2023-11-02,
206,ACTION (ACT)*,Kupuj,20.8,21.6,0.0385,18.4,DM BOŚ,2023-11-02,
207,UNIMOT (UNT),Trzymaj,134.6,105.0,-0.21989999999999998,100.4,DM BOŚ,2023-10-31,
208,PEKABEX (PBX),Kupuj,26.8,24.0,-0.1045,21.3,Trigon DM,2023-10-30,
209,VOXEL (VOX)*,Kupuj,93.2,73.9,-0.2071,53.0,DM BOŚ,2023-10-30,
210,FERRO (FRO)*,Neutralna,38.7,30.1,-0.22219999999999998,27.2,DM BOŚ,2023-10-25,
